,Year,Team,Opponent
3,2017,Florida,ETSU
16,2017,Miami (FL),Michigan State
49,2017,Florida State,Florida Gulf Coast
62,2016,UNC,Florida Gulf Coast
97,2016,Miami (FL),Buffalo
233,2014,Florida,Albany (NY)
258,2013,Miami (FL),Pacific
286,2013,Florida,Northwestern State
288,2013,Georgetown,Florida Gulf Coast
319,2012,Florida State,St. Bonaventure
331,2012,Temple,South Florida
365,2012,Florida,Virginia
399,2011,Florida,UCSB
413,2011,Texas A&M,Florida State
486,2010,Gonzaga,Florida State
491,2010,BYU,Florida
520,2009,Florida State,Wisconsin
602,2008,Miami (FL),Saint Mary's (CA)
659,2007,Florida,Jackson State
697,2006,Florida,South Alabama
758,2005,Florida,Ohio
762,2005,UConn,UCF
858,2003,Florida,Sam Houston State
931,2002,Florida,Creighton
951,2002,Alabama,Florida Atlantic
961,2002,Miami (FL),Missouri
1012,2001,Florida,Western Kentucky
1042,2000,Florida,Butler
1074,2000,Miami (FL),Arkansas
1103,1999,Duke,Florida A&M
1110,1999,Miami (FL),Lafayette
1152,1999,Florida,Penn
1183,1998,Texas Christian,Florida State
1200,1998,UCLA,Miami (FL)
1292,1996,UMass,UCF
1391,1995,Iowa State,Florida
1400,1995,UCLA,Florida International
1423,1994,Florida,James Madison
1448,1994,Purdue,UCF
1516,1993,Florida State,Evansville
1593,1992,Georgetown,South Florida
1594,1992,Florida State,Montana
1643,1991,Florida State,USC
1722,1990,Arizona,South Florida
1754,1989,Florida,Colorado State
1766,1989,Florida State,Middle Tennessee
1843,1988,Iowa,Florida State
1845,1988,Florida,St. John's (NY)
1863,1987,Florida,North Carolina State
1938,1986,Jacksonville,Temple
2247,1980,Florida State,Toledo
2301,1979,Virginia Tech,Jacksonville
2329,1978,Kentucky,Florida State
2477,1973,Austin Peay,Jacksonville
2500,1972,Florida State,Eastern Kentucky
2524,1971,Western Kentucky,Jacksonville
2548,1970,Jacksonville,Western Kentucky
2596,1968,ETSU,Florida State
2778,1960,Western Kentucky,Miami (FL)
